iter	Passed	Remaining
403	10843	8025
404	10857	7989
405	10873	7954
406	10886	7917
407	10902	7882
408	10917	7847
409	10933	7813
410	10947	7777
411	10960	7741
412	10974	7706
413	10990	7671
414	11005	7637
415	11020	7602
416	11036	7569
417	11051	7535
418	11066	7500
419	11081	7466
420	11098	7434
421	11114	7400
422	11131	7368
423	11148	7336
424	11165	7303
425	11179	7269
426	11194	7235
427	11210	7203
428	11229	7171
429	11244	7139
430	11261	7106
431	11276	7073
432	11290	7040
433	11305	7007
434	11320	6974
435	11336	6942
436	11354	6911
437	11372	6880
438	11389	6849
439	11409	6819
440	11424	6787
441	11444	6757
442	11463	6728
443	11481	6697
444	11506	6671
445	11526	6642
446	11544	6611
447	11562	6581
448	11591	6557
449	11616	6531
450	11637	6502
451	11653	6471
452	11667	6439
453	11683	6407
454	11696	6375
455	11712	6344
456	11726	6312
457	11743	6282
458	11758	6250
459	11772	6218
460	11787	6187
461	11804	6157
462	11821	6127
463	11837	6097
464	11852	6066
465	11868	6036
466	11885	6006
467	11901	5976
468	11916	5945
469	11931	5915
470	11947	5884
471	11962	5854
472	11976	5823
473	11990	5792
474	12004	5762
475	12020	5732
476	12036	5702
477	12051	5672
478	12066	5642
479	12081	5612
480	12097	5583
481	12112	5553
482	12126	5523
483	12141	5493
484	12157	5464
485	12173	5435
486	12189	5406
487	12204	5377
488	12218	5347
489	12234	5318
490	12249	5288
491	12263	5259
492	12278	5230
493	12294	5201
494	12310	5172
495	12325	5144
496	12340	5115
497	12358	5087
498	12372	5058
499	12387	5029
500	12402	5000
501	12418	4972
502	12433	4943
503	12447	4914
504	12463	4886
505	12478	4858
506	12491	4829
507	12505	4800
508	12520	4772
509	12535	4743
510	12552	4716
511	12569	4688
512	12584	4660
513	12601	4633
514	12616	4605
515	12631	4577
516	12647	4550
517	12664	4523
518	12678	4494
519	12693	4467
520	12709	4439
521	12723	4411
522	12736	4383
523	12753	4356
524	12767	4328
525	12784	4302
526	12799	4274
527	12814	4247
528	12829	4219
529	12845	4192
530	12860	4165
531	12874	4138
532	12888	4110
533	12904	4083
534	12918	4056
535	12934	4030
536	12949	4003
537	12962	3975
538	12978	3948
539	12993	3922
540	13008	3895
541	13022	3868
542	13037	3841
543	13050	3814
544	13066	3788
545	13083	3762
546	13098	3735
547	13112	3708
548	13127	3682
549	13142	3656
550	13157	3629
551	13172	3603
552	13187	3577
553	13204	3551
554	13219	3525
555	13233	3498
556	13247	3472
557	13262	3446
558	13279	3420
559	13293	3394
560	13308	3368
561	13324	3342
562	13339	3316
563	13353	3290
564	13369	3265
565	13384	3239
566	13400	3214
567	13415	3188
568	13430	3162
569	13446	3137
570	13462	3112
571	13477	3086
572	13493	3061
573	13507	3035
574	13522	3010
575	13538	2985
576	13553	2959
577	13568	2934
578	13583	2909
579	13601	2884
580	13618	2859
581	13632	2834
582	13647	2809
583	13663	2784
584	13678	2759
585	13693	2734
586	13708	2708
587	13722	2683
588	13737	2658
589	13751	2633
590	13767	2609
591	13781	2583
592	13798	2559
593	13814	2534
594	13830	2510
595	13845	2485
596	13860	2460
597	13876	2436
598	13891	2411
599	13908	2387
600	13922	2362
601	13937	2338
602	13952	2313
603	13968	2289
604	13983	2265
605	13998	2240
606	14013	2216
607	14026	2191
608	14042	2167
609	14057	2143
610	14072	2118
611	14086	2094
612	14102	2070
613	14117	2046
614	14132	2022
615	14148	1998
616	14162	1974
617	14177	1949
618	14191	1925
619	14207	1901
620	14222	1878
621	14237	1854
622	14251	1830
623	14267	1806
624	14280	1782
625	14296	1758
626	14312	1734
627	14329	1711
628	14343	1687
629	14356	1663
630	14371	1639
631	14384	1615
632	14399	1592
633	14414	1568
634	14427	1544
635	14441	1521
636	14456	1497
637	14472	1474
638	14488	1451
639	14502	1427
640	14517	1404
641	14532	1380
642	14548	1357
643	14563	1334
644	14578	1310
645	14593	1287
646	14608	1264
647	14621	1241
648	14636	1217
649	14653	1194
650	14670	1171
651	14685	1148
652	14701	1125
653	14717	1102
654	14732	1079
655	14746	1056
656	14759	1033
657	14775	1010
658	14789	987
659	14806	964
660	14820	941
661	14834	918
662	14849	895
663	14863	873
664	14879	850
665	14894	827
666	14909	804
667	14924	781
668	14939	759
669	14953	736
670	14968	713
671	14982	691
672	14997	668
673	15014	646
674	15031	623
675	15045	600
676	15060	578
677	15075	555
678	15092	533
679	15106	510
680	15123	488
681	15140	466
682	15154	443
683	15169	421
684	15184	399
685	15199	376
686	15214	354
687	15227	331
688	15242	309
689	15258	287
690	15274	265
691	15290	243
692	15304	220
693	15320	198
694	15336	176
695	15352	154
696	15367	132
697	15386	110
698	15405	88
699	15420	66
700	15434	44
701	15449	22
702	15462	0
