iter	Logloss
170	0.1925709427
171	0.1923614477
172	0.1921749755
173	0.1919829726
174	0.1918248321
175	0.1916987913
176	0.1915518643
177	0.1913858262
178	0.1911726139
179	0.1910029461
180	0.1909232095
181	0.1907223959
182	0.1905929742
183	0.190464152
184	0.190375296
185	0.1901888234
186	0.1900044152
187	0.1898707134
188	0.189767909
189	0.1896440244
190	0.1894996799
191	0.1893558243
192	0.1892204088
193	0.1890620727
194	0.1888649948
195	0.1887188882
196	0.1885774675
197	0.1884393871
198	0.1882812037
199	0.1881594684
200	0.188033762
201	0.1879410219
202	0.1878260531
203	0.1876564681
204	0.1875264052
205	0.1873582016
206	0.1872438265
207	0.1869971517
208	0.1868785558
209	0.1867336181
210	0.1866419201
211	0.1864994649
212	0.1863981843
213	0.1862613492
214	0.1861243102
215	0.1860424089
216	0.1859120448
217	0.1857967578
218	0.1856820089
219	0.1855648567
220	0.1854794712
221	0.1853709648
222	0.1851714558
223	0.1850359749
224	0.184916503
225	0.1848054224
226	0.1847291901
227	0.1845782573
228	0.184472203
229	0.1843425657
230	0.1842190343
231	0.1841075339
232	0.1839671691
233	0.1837482274
234	0.1836167761
235	0.1834865505
236	0.1833686554
237	0.1832170296
238	0.1830892302
239	0.1829670863
240	0.1828202956
241	0.1826300803
242	0.1824408683
243	0.1822950263
244	0.1821987132
245	0.1820743172
246	0.1819251487
247	0.1818257555
248	0.181717243
249	0.1815203956
250	0.1813502179
251	0.1812014751
252	0.181097097
253	0.1810327897
254	0.1809111366
255	0.1807741643
256	0.1805506353
257	0.180386499
258	0.1802743937
259	0.1801658532
260	0.1801142306
261	0.1800632763
262	0.1799055354
263	0.1798022903
264	0.1796577677
265	0.1795358991
266	0.1794837436
267	0.1793970607
268	0.17926552
269	0.1791865019
270	0.1790390533
271	0.1788989317
272	0.1787971069
273	0.178689908
274	0.1785462063
275	0.1784586545
276	0.1783499016
277	0.1782003634
278	0.178058616
279	0.1779690855
280	0.1778881597
281	0.1776980983
282	0.1775704227
283	0.1774477467
284	0.1772653985
285	0.177155023
286	0.1770115717
287	0.1769496714
288	0.1768512205
289	0.1767664623
290	0.1765895468
291	0.1763653751
292	0.1762836975
293	0.1761898767
294	0.1759852393
295	0.1758777338
296	0.1757292277
297	0.1756792991
298	0.1755516501
299	0.175446871
300	0.1753608505
301	0.1752004398
302	0.1751544194
303	0.1749762944
304	0.1748644545
305	0.1748009925
306	0.1747157261
307	0.1746162217
308	0.1744787445
309	0.174317121
310	0.1742065241
311	0.1740962482
312	0.1739530484
313	0.1738242865
314	0.1736599566
315	0.1735265999
316	0.1733705251
317	0.1732850044
318	0.1731818586
319	0.173072073
320	0.1729519133
321	0.1728504375
322	0.1727845971
323	0.1727411249
324	0.1726491868
325	0.1725056467
326	0.1724368837
327	0.1723048892
328	0.1721947095
329	0.1721270145
330	0.172018667
331	0.1719436628
332	0.17183206
333	0.1716978389
334	0.1715854143
335	0.1714533309
336	0.1713599809
337	0.1713108161
338	0.1712652472
339	0.1711739905
340	0.1711084878
341	0.1710458819
342	0.1709945645
343	0.17085828
344	0.1707177531
345	0.1705031058
346	0.1704285309
347	0.1702956526
348	0.1701717981
349	0.1700822796
350	0.1699249538
351	0.1698489292
352	0.1697267254
353	0.1696187939
354	0.1695753797
355	0.1694929285
356	0.1694241223
357	0.1693430525
358	0.1692149724
359	0.169094083
360	0.1689404508
361	0.1687762642
362	0.1685903469
363	0.168426228
364	0.1683436036
365	0.1681476085
366	0.1680181252
367	0.1679231061
368	0.1678012933
369	0.1676993728
370	0.1676064847
371	0.1674929412
372	0.1674417535
373	0.1673400052
374	0.1673043985
375	0.1671440096
376	0.1670392563
377	0.1669265735
378	0.1668528651
379	0.166729827
380	0.1666316853
381	0.1664580467
382	0.1663700771
383	0.1661828882
384	0.1660917127
385	0.1659421458
386	0.1658911574
387	0.1657560023
388	0.1656337799
389	0.1655072869
390	0.1653775346
391	0.165205536
392	0.1650824816
393	0.1649988615
394	0.16488712
395	0.1648434387
396	0.1647189671
397	0.1646375303
398	0.1645876796
399	0.1644567322
400	0.1643544987
401	0.1642715558
402	0.1642008739
403	0.164044998
404	0.1639921255
405	0.1638098408
406	0.1637626006
407	0.1636729835
408	0.1635701981
409	0.1634469776
410	0.1633711277
411	0.1633252767
412	0.1632442866
413	0.1631399884
414	0.1630641833
415	0.1629578459
416	0.1628182696
417	0.1627062051
418	0.1626015857
419	0.1625024741
420	0.1624241893
421	0.1623368803
422	0.1622181808
423	0.1621113017
424	0.1619978444
425	0.1619449351
426	0.1618636141
427	0.1617771305
428	0.1616225588
429	0.1615465747
430	0.1614083765
431	0.161357285
432	0.1613077436
433	0.1611802502
434	0.1611403778
435	0.1610569876
436	0.1609631431
437	0.1608568737
438	0.1607231426
439	0.1605639606
440	0.1604549396
441	0.1603774265
442	0.1602311445
443	0.1601373276
444	0.1600634082
445	0.160012509
446	0.1598562267
447	0.1597834682
448	0.1597022202
449	0.1595368654
450	0.1593940908
451	0.1592377608
452	0.1591050384
453	0.1590008173
454	0.1589558041
455	0.1588248681
456	0.1587937867
457	0.1587173323
458	0.1586144836
459	0.1585390434
460	0.1584426654
461	0.158286759
462	0.1582094452
463	0.1580673264
464	0.1580068033
465	0.1579173832
466	0.1577680249
467	0.1576420505
468	0.1575228906
469	0.1574158482
470	0.1573614939
471	0.1572492683
472	0.1571939394
473	0.1571209276
474	0.1570379351
475	0.1569296018
476	0.1568216247
477	0.1567275324
478	0.1565700957
479	0.1565013857
480	0.1563610051
481	0.1562835883
482	0.1561865275
483	0.1560974078
484	0.1559914413
485	0.1558513968
486	0.1556835848
487	0.1555557149
488	0.1555168624
489	0.1554010278
490	0.1553472135
491	0.1552289564
492	0.1551077931
493	0.1549572339
494	0.1548435003
495	0.1547647483
496	0.1546573786
497	0.1545231572
498	0.1544454217
499	0.1543261215
500	0.1542280797
501	0.1540506223
502	0.1539768667
503	0.1539332075
504	0.1538160467
505	0.1537217646
506	0.1536474267
507	0.1535429292
508	0.1534197135
509	0.1532602654
510	0.153106742
511	0.1529814836
512	0.1528765248
513	0.1527808045
514	0.1526695672
515	0.1525976368
516	0.1524686619
517	0.152295596
518	0.1522460918
519	0.1521344052
520	0.1519856068
521	0.1518945385
522	0.1518430207
523	0.1517176276
524	0.151661638
525	0.151504858
526	0.1514114591
527	0.1512713422
528	0.1512074435
529	0.1510815724
530	0.151017068
531	0.1509461791
532	0.1508926603
533	0.1507262922
534	0.1506443657
535	0.1504975149
536	0.1503908809
537	0.1503317205
538	0.1502397832
539	0.1501372846
540	0.1500595817
541	0.14999481
542	0.1499326783
543	0.1498515893
544	0.1497404579
545	0.1496058914
546	0.1494892203
547	0.1494464732
548	0.1493372212
549	0.1492671999
550	0.1492011789
551	0.1490797289
552	0.1489753425
553	0.1488307249
554	0.1486990776
555	0.148614046
556	0.1485534256
557	0.1484784728
558	0.1483927401
559	0.1483115186
560	0.1481852252
561	0.1480947638
562	0.1479919339
563	0.1479251004
564	0.1478193917
565	0.1477184004
566	0.1476171551
567	0.1475545516
568	0.1474514268
569	0.1473147478
570	0.1471690064
571	0.1470691857
572	0.1469477781
573	0.1468590735
574	0.1467387723
575	0.1465869057
576	0.1465108238
577	0.1463858623
578	0.146250556
579	0.1461675955
580	0.146052736
581	0.1459816443
582	0.14587104
583	0.1457387944
584	0.1456174255
585	0.1455372647
586	0.145443288
587	0.1453624236
588	0.1452626229
589	0.1451883609
590	0.1450680762
591	0.1450204668
592	0.1448744009
593	0.144800917
594	0.1446675227
595	0.1445893874
596	0.1444846884
597	0.1443523436
598	0.1442551745
599	0.1441758821
600	0.1441104521
601	0.144017158
602	0.1439301454
603	0.1437962435
604	0.1436755401
605	0.143600871
606	0.1435410135
607	0.1434947241
608	0.143413707
609	0.1433360701
610	0.1432285147
611	0.1431330171
612	0.142991123
613	0.1429498732
614	0.1428801547
615	0.1428020337
616	0.1427132354
617	0.1426149829
618	0.1425597834
619	0.1424321455
620	0.1422897497
621	0.1422168225
622	0.1421766993
623	0.1420772729
624	0.1420327328
625	0.141928289
626	0.1417998703
627	0.1416813478
628	0.1416409305
629	0.1415965133
630	0.1415356385
631	0.1415051489
632	0.141475704
633	0.141435398
634	0.1413994652
635	0.1413281382
636	0.1412605604
637	0.1411247491
638	0.1410110643
639	0.1409403577
640	0.1408842426
641	0.1408219902
642	0.1407066102
643	0.1406489511
644	0.1405266375
645	0.1404090487
646	0.1402751668
647	0.140235306
648	0.1401648109
649	0.1400271269
650	0.1398730764
651	0.1397573364
652	0.1396403118
653	0.139488133
654	0.139402127
655	0.139365256
656	0.139301898
657	0.1392001723
658	0.1391276884
659	0.1390234291
660	0.1389787058
661	0.1388787585
662	0.1387679662
663	0.1387368388
664	0.1386356757
665	0.1385432954
666	0.1384438743
667	0.1383252647
668	0.1382502341
669	0.13820114
670	0.1381259392
671	0.1380755024
672	0.1380057026
673	0.1378604081
674	0.137740345
675	0.1376573978
676	0.1375950218
677	0.1374934007
678	0.1373727347
679	0.1372892471
680	0.1371216708
681	0.1370548929
682	0.1370076655
683	0.1369396947
684	0.1368477862
685	0.1367514612
686	0.1366756105
687	0.1366493742
688	0.136541096
689	0.1364387259
690	0.1363590133
691	0.1362912514
692	0.1362479637
693	0.1361276022
694	0.135999344
695	0.135902026
696	0.1358012103
697	0.1357172451
698	0.135597204
699	0.1355031928
700	0.1354171999
701	0.1353505148
702	0.1353189124
