iter	Logloss
0	0.6380721191
1	0.5947433457
2	0.5515778884
3	0.5177799959
4	0.4844570012
5	0.4590661188
6	0.4335939434
7	0.4140281146
8	0.3934096294
9	0.3792101398
10	0.3648616994
11	0.353248629
12	0.3415715438
13	0.3305817673
14	0.3200649113
15	0.311424253
16	0.3037023619
17	0.2958661553
18	0.2905134109
19	0.2857457806
20	0.2806340029
21	0.2768472262
22	0.2731599354
23	0.2701080932
24	0.267343204
25	0.2633847529
26	0.2612376126
27	0.2589764535
28	0.2563857141
29	0.2531884668
30	0.2510365421
31	0.2488433999
32	0.2463667854
33	0.2444824653
34	0.2421975044
35	0.240550141
36	0.2392057964
37	0.2377659636
38	0.2365599044
39	0.2351181196
40	0.2336290425
41	0.2327407734
42	0.2318003431
43	0.2307889855
44	0.2301586458
45	0.2289943956
46	0.2279696996
47	0.227168888
48	0.2263834757
49	0.2255668928
50	0.2249163473
51	0.224549223
52	0.2237746917
53	0.2229851682
54	0.2222420318
55	0.2217091348
56	0.221100448
57	0.2204361969
58	0.2198035893
59	0.2190494987
60	0.2185209912
61	0.2181853356
62	0.2178114492
63	0.2172051814
64	0.2166676956
65	0.2162781955
66	0.2159747315
67	0.2155031221
68	0.2149854009
69	0.2145788518
70	0.2141886318
71	0.2137680977
72	0.2133847395
73	0.2130849041
74	0.2127017514
75	0.2123448301
76	0.212138547
77	0.2119280787
78	0.2116119485
79	0.2113312034
80	0.2109673161
81	0.2107532119
82	0.2104893815
83	0.2101550869
84	0.2098557619
85	0.2095150185
86	0.2091053926
87	0.2089214378
88	0.2086790288
89	0.2084381784
90	0.2080970029
91	0.2078711436
92	0.2076069236
93	0.2074260336
94	0.2071289541
95	0.2069460593
96	0.2066860238
97	0.2064951329
98	0.20622217
99	0.205978019
100	0.205715696
101	0.2054925445
102	0.2052310357
103	0.2050169248
104	0.2047228015
105	0.2045207197
106	0.2042775013
107	0.2041153005
108	0.2038970549
109	0.2036665745
110	0.2034735368
111	0.2032786914
112	0.2031365444
113	0.2029655579
114	0.2027092201
115	0.2024988322
116	0.2023459307
117	0.202170314
118	0.2019412985
119	0.201724246
120	0.2014551318
121	0.2012923094
122	0.2011225002
123	0.2009494331
124	0.2007403035
125	0.2005933385
126	0.2004070496
127	0.2002281657
128	0.2000327704
129	0.1997551492
130	0.1995465912
131	0.199421192
132	0.1992379168
133	0.199047849
134	0.1988766848
135	0.1987374901
136	0.198636567
137	0.1984895442
138	0.1982055584
139	0.1980009071
140	0.1978768051
141	0.1977282857
142	0.1975044084
143	0.1973439394
144	0.1971705624
145	0.1970029301
146	0.1968304823
147	0.1966827599
148	0.1965429094
149	0.1963043076
150	0.1961215708
151	0.1958266433
152	0.1956671169
153	0.1954950016
154	0.1953350347
155	0.1951735811
156	0.1950373921
157	0.1948301484
158	0.1946268381
159	0.1944031059
160	0.1942665575
161	0.1940525778
162	0.1938321015
163	0.1936316856
164	0.1935245022
165	0.1933867745
166	0.1932652594
167	0.1930670686
168	0.1929094359
169	0.1927675626
